Date,UserID,Product,Count,Price
2024-06-10,559954,Стереосистема Xiaomi DL-225449,497,79427
2024-06-11,2885106,Стереосистема Honor PR-341013,315,51294
2024-07-09,389297,Стереосистема Apple DL-21386,111,40984
2024-03-13,582071,Телевизор Lenovo NT-487166,270,48959
2024-04-06,1676205,Стереосистема Honor ML-325746,498,29194
2024-03-05,2000522,Компьютер Honor MS-291478,315,79023
2024-02-08,2371564,Стереосистема Xiaomi WF-380431,89,20479
2024-04-12,1168215,Телевизор Apple MS-348706,286,39259
2024-01-07,581188,Видеокамера Huawei MS-418167,490,65186
2024-03-08,1512225,Ноутбук Lenovo MS-475684,62,44236
2024-06-01,2279660,Телевизор Huawei ML-145331,176,11887
2024-04-08,2363383,Видеокамера Apple ML-49828,10,77326
2024-07-13,995626,Телевизор Huawei WF-122363,64,47989
2024-05-02,1517222,Телевизор Lenovo WF-203917,199,49093
2024-04-07,2127249,Ноутбук Apple ML-442923,127,25958
2024-07-04,360337,Компьютер Samsung DL-205379,40,34866
2024-04-08,1442931,Компьютер Huawei WF-73077,429,30216
2024-05-10,2479313,Стереосистема Lenovo PR-353493,179,36160
2024-05-03,1388208,Телевизор Huawei ML-184820,44,32172
2024-04-03,289323,Ноутбук Xiaomi NT-460521,424,39242
2024-06-06,1055448,Компьютер Lenovo WF-405589,79,30292
2024-05-04,2041474,Стереосистема Samsung DL-312912,58,69575
2024-05-03,883439,Компьютер Huawei ML-158694,42,33077
2024-07-11,2444303,Видеокамера Lenovo MS-250131,297,65523
2024-05-09,2429387,Телевизор Samsung PR-40534,120,76402
2024-03-03,1538572,Компьютер Samsung DL-452672,60,10957
2024-02-02,2259661,Компьютер Honor NT-211748,241,39469
2024-05-05,2003497,Стереосистема Apple MS-38372,296,58087
2024-02-06,2859733,Видеокамера Xiaomi PR-258465,69,70627
2024-02-01,2037513,Компьютер Huawei PR-264471,50,74287
2024-02-04,648166,Ноутбук Apple WF-217352,112,23089
2024-05-03,441527,Ноутбук Apple PR-177625,391,38943
2024-05-07,2332863,Стереосистема Lenovo NT-327661,168,13112
2024-04-05,2681717,Ноутбук Honor DL-106479,280,41104
2024-05-02,1490478,Ноутбук Samsung WF-452479,414,32224
2024-02-04,1030143,Видеокамера Honor MS-401964,230,30107
2024-01-07,1786800,Компьютер Huawei DL-466419,467,48283
2024-05-09,1806805,Видеокамера Honor NT-380606,84,31815
2024-02-11,2602535,Видеокамера Huawei NT-461469,111,23583
2024-07-12,1491003,Стереосистема Xiaomi DL-224408,42,78749
2024-06-09,1577233,Видеокамера Samsung PR-421579,58,17528
2024-07-13,2400756,Стереосистема Xiaomi MS-83915,408,25991
2024-01-05,2862070,Телевизор Lenovo PR-50749,380,40202
2024-04-01,834707,Ноутбук Apple ML-131283,457,29891
2024-04-03,2148614,Компьютер Honor ML-91500,265,43393
2024-01-13,2636704,Компьютер Xiaomi DL-46962,187,24613
2024-07-09,1976242,Стереосистема Apple NT-39123,356,51359
2024-06-04,32797,Стереосистема Samsung ML-295203,417,79991
2024-02-05,2431196,Компьютер Huawei MS-253233,114,57598
2024-02-08,571052,Видеокамера Honor ML-24520,86,15446
2024-06-02,535737,Ноутбук Honor ML-59162,258,61720
2024-04-01,1127621,Ноутбук Xiaomi DL-172902,282,64616
2024-07-05,599922,Видеокамера Honor NT-437345,192,65451
2024-01-09,2383009,Телевизор Apple DL-369007,466,20701
2024-03-11,2263371,Компьютер Lenovo WF-474087,432,66688
2024-06-13,1345807,Телевизор Lenovo WF-197608,150,65531
2024-03-12,2340115,Телевизор Samsung MS-432196,304,72705
2024-02-12,488160,Стереосистема Honor PR-70058,135,48775
2024-02-13,316430,Компьютер Apple WF-120991,379,55559
2024-02-09,1986463,Компьютер Huawei WF-407409,275,43554
2024-06-05,2488965,Видеокамера Samsung PR-470107,51,65777
2024-04-12,2966009,Телевизор Lenovo WF-138317,471,28210
2024-07-13,241989,Телевизор Apple NT-306006,50,79608
2024-05-07,820272,Компьютер Lenovo ML-47829,5,24544
2024-07-01,2029473,Видеокамера Honor NT-131604,218,67715
2024-03-08,2131519,Компьютер Lenovo NT-253186,480,64549
2024-04-05,215369,Стереосистема Huawei MS-304979,174,27171
2024-01-04,377241,Стереосистема Samsung NT-24239,470,74769
2024-01-03,2631582,Компьютер Lenovo MS-428776,478,75996
2024-06-01,875967,Видеокамера Honor WF-154367,343,44651
2024-06-09,1365178,Видеокамера Honor NT-320674,203,20763
2024-05-06,776008,Ноутбук Samsung NT-172326,82,13175
2024-04-09,1482570,Ноутбук Samsung PR-193165,150,24924
2024-06-12,2245455,Ноутбук Xiaomi ML-204986,61,32989
2024-03-09,793818,Видеокамера Samsung PR-481940,454,42912
2024-05-11,892851,Компьютер Huawei PR-351656,498,22571
2024-06-11,950671,Телевизор Lenovo DL-436808,218,70709
2024-05-09,2194651,Видеокамера Xiaomi NT-272562,476,28242
2024-01-02,2831204,Видеокамера Samsung PR-492016,181,66318
2024-07-13,721960,Видеокамера Apple WF-313532,308,49406
2024-04-11,698529,Ноутбук Apple PR-386858,138,22313
2024-03-03,1222717,Ноутбук Samsung ML-181624,75,57095
2024-02-10,1253408,Ноутбук Samsung NT-257155,12,71565
2024-03-08,1574294,Видеокамера Xiaomi PR-272242,377,74565
2024-07-07,1448190,Компьютер Huawei ML-198668,251,36576
2024-06-04,2337681,Ноутбук Xiaomi NT-436073,363,18958
2024-01-07,2537068,Ноутбук Lenovo NT-137596,49,13570
2024-07-02,613756,Видеокамера Honor ML-52781,285,30828
